Longitude,Latitude,Target,Aspect,Curvature,Rainfall_Pentad,River_dist_mts,Geology_Age,Geomorphology,Slope,Roads_dist_mts,Soil_type
79.034338,29.906565,1,6,3,234.8168945,8,1,3,3,0,6
78.828401,29.855822,1,8,1,267.2776489,11,8,3,2,0,6
78.863744,29.823773,1,9,1,267.4976501,16,8,3,2,0,6
78.875785,29.934438,1,5,2,259.187439,16,8,3,2,0,6
78.893,29.8,1,5,1,267.4976501,16,8,3,2,0,6
78.829191,29.905394,1,9,3,261.5019836,0,8,3,3,0,2
78.816758,29.905402,1,7,1,261.5019836,8,8,3,3,0,6
78.904,29.813,1,7,2,267.7789612,0,8,1,3,0,2
78.784618,29.906165,1,4,3,263.0310059,11,8,3,1,0,6
79.034292,29.912203,1,9,1,234.8168945,0,8,3,2,0,2
78.839916,29.903383,1,7,3,261.5019836,0,8,1,3,0,6
78.89589,29.816046,1,4,3,267.4976501,0,8,3,3,0,6
78.874352,29.933576,1,5,3,259.187439,16,8,3,2,0,6
78.858173,29.850585,1,2,3,262.3626709,8,8,3,3,0,6
79.04286,29.837642,1,6,1,248.858429,11,8,3,3,0,6
78.874938,29.829834,1,10,3,267.4976501,8,8,3,2,0,6
79.033629,29.913905,1,5,1,234.8168945,0,8,3,3,0,2
78.980182,29.837812,1,3,3,263.3337402,8,8,1,2,0,2
78.817,29.795,1,3,3,272.478363,33,8,3,3,0,6
78.998829,29.890322,1,2,3,250.1608124,18,8,3,3,0,6
78.871768,29.826892,1,3,2,267.4976501,11,8,3,2,0,6
79.002536,29.830531,1,7,1,248.858429,8,8,3,3,0,2
78.931549,29.817368,1,6,1,267.7789612,0,8,3,3,0,6
78.974821,29.896169,1,5,1,250.1608124,40,8,3,2,0,2
78.81,29.857,1,4,1,267.2776489,26,8,3,3,0,2
78.860493,29.773345,1,7,1,264.1102295,52,9,3,2,0,6
79.016021,29.908345,1,4,3,234.8168945,11,8,3,1,0,6
79.043557,29.796686,1,7,1,249.6737671,24,8,3,2,0,2
78.948894,29.822853,1,3,3,267.7789612,8,8,3,3,0,6
79.018539,29.775513,1,6,3,249.6737671,40,8,3,3,0,2
78.806832,29.91541,1,4,1,261.5019836,8,8,3,3,0,6
78.984692,29.841318,1,5,1,263.3337402,0,8,3,2,0,2
78.813795,29.908612,1,7,3,261.5019836,11,8,3,2,0,2
78.997,29.831,1,6,2,263.3337402,0,8,3,2,0,6
78.827942,29.906995,1,4,1,261.5019836,8,8,3,3,0,6
78.943,29.826,1,4,3,267.7789612,8,8,3,3,0,6
78.875234,29.929447,1,3,1,259.187439,11,8,3,2,0,2
79.032722,29.906639,1,7,3,234.8168945,8,1,3,3,0,6
78.895758,29.816588,1,4,3,267.4976501,0,8,3,3,0,6
79.039605,29.914931,1,10,1,234.8168945,8,1,3,2,0,2
78.794933,29.91592,1,6,3,263.0310059,23,8,3,2,0,6
78.884,29.728,1,9,1,275.6940918,34,8,3,3,0,2
78.79868,29.922119,1,6,1,263.0310059,18,8,3,2,0,6
78.808976,29.920844,1,7,3,261.5019836,16,8,3,2,0,2
78.812,29.916,1,7,2,261.5019836,16,8,3,3,0,2
78.891976,29.904477,1,8,1,259.187439,0,8,1,4,0,2
78.860671,29.82303,1,8,1,267.4976501,16,8,3,3,0,2
78.897483,29.83161,1,5,1,267.4976501,0,8,3,3,0,2
78.997437,29.884811,1,5,2,250.1608124,26,8,3,3,0,6
78.976638,29.847305,1,4,3,263.3337402,11,8,3,2,0,2
78.824634,29.858827,1,3,3,267.2776489,18,8,3,2,0,2
79.017563,29.861943,1,5,1,232.252533,8,8,3,3,0,6
78.8703,29.7004,0,8,3,275.6940918,16,18,3,1,8,6
78.7744,29.7239,0,8,3,282.7984619,23,18,3,1,11,6
79.0204,29.7192,0,6,3,270.860321,11,8,3,1,0,6
78.8017,29.8198,0,6,3,274.5341492,23,8,3,1,0,2
78.9371,29.7079,0,9,1,278.2645264,18,9,3,1,8,2
